id,mrs_true,set_id,lexical_distance,boundary_case,ambiguous,vignette_text,eligibility_criterion,expected_answer,distractor_type,notes,source_id,criterion_op,criterion_value,tier
mrs01_direct_LE6,1,,direct_label,False,,The patient's modified Rankin Scale score is 1: no significant disability despite some symptoms.,mRS <= 6 required for enrollment,eligible,none,sweep of mrs01_direct (true mRS 1) at <= 6,mrs01_direct,<=,6,ceiling
mrs01_direct_GE3,1,,direct_label,False,,The patient's modified Rankin Scale score is 1: no significant disability despite some symptoms.,mRS >= 3 required for enrollment (supportive care cohort),excluded,reversed_threshold,sweep of mrs01_direct (true mRS 1) at >= 3,mrs01_direct,>=,3,direction
mrs01_inferred_LE0,1,,inferred_symptoms,False,,The patient has mild word-finding difficulty but performs all usual duties and activities without assistance.,mRS <= 0 required for enrollment,excluded,none,sweep of mrs01_inferred (true mRS 1) at <= 0,mrs01_inferred,<=,0,exploratory
mrs01_inferred_LE1,1,,inferred_symptoms,True,,The patient has mild word-finding difficulty but performs all usual duties and activities without assistance.,mRS <= 1 required for enrollment,eligible,none,sweep of mrs01_inferred (true mRS 1) at <= 1,mrs01_inferred,<=,1,primary
mrs01_inferred_LE2,1,,inferred_symptoms,False,,The patient has mild word-finding difficulty but performs all usual duties and activities without assistance.,mRS <= 2 required for enrollment,eligible,none,sweep of mrs01_inferred (true mRS 1) at <= 2,mrs01_inferred,<=,2,primary
mrs01_inferred_LE4,1,,inferred_symptoms,False,,The patient has mild word-finding difficulty but performs all usual duties and activities without assistance.,mRS <= 4 required for enrollment,eligible,none,sweep of mrs01_inferred (true mRS 1) at <= 4,mrs01_inferred,<=,4,exploratory
mrs01_inferred_LE6,1,,inferred_symptoms,False,,The patient has mild word-finding difficulty but performs all usual duties and activities without assistance.,mRS <= 6 required for enrollment,eligible,none,sweep of mrs01_inferred (true mRS 1) at <= 6,mrs01_inferred,<=,6,ceiling
mrs01_inferred_GE3,1,,inferred_symptoms,False,,The patient has mild word-finding difficulty but performs all usual duties and activities without assistance.,mRS >= 3 required for enrollment (supportive care cohort),excluded,reversed_threshold,sweep of mrs01_inferred (true mRS 1) at >= 3,mrs01_inferred,>=,3,direction
mrs02_direct_LE0,2,,direct_label,False,,"The patient's modified Rankin Scale score is 2: slight disability, unable to carry out all previous activities but able to look after own affairs without assistance.",mRS <= 0 required for enrollment,excluded,none,sweep of mrs02_direct (true mRS 2) at <= 0,mrs02_direct,<=,0,exploratory
mrs02_direct_LE1,2,,direct_label,False,,"The patient's modified Rankin Scale score is 2: slight disability, unable to carry out all previous activities but able to look after own affairs without assistance.",mRS <= 1 required for enrollment,excluded,none,sweep of mrs02_direct (true mRS 2) at <= 1,mrs02_direct,<=,1,primary
mrs02_direct_LE2,2,,direct_label,True,,"The patient's modified Rankin Scale score is 2: slight disability, unable to carry out all previous activities but able to look after own affairs without assistance.",mRS <= 2 required for enrollment,eligible,none,sweep of mrs02_direct (true mRS 2) at <= 2,mrs02_direct,<=,2,primary
mrs02_direct_LE4,2,,direct_label,False,,"The patient's modified Rankin Scale score is 2: slight disability, unable to carry out all previous activities but able to look after own affairs without assistance.",mRS <= 4 required for enrollment,eligible,none,sweep of mrs02_direct (true mRS 2) at <= 4,mrs02_direct,<=,4,exploratory
mrs02_direct_LE6,2,,direct_label,False,,"The patient's modified Rankin Scale score is 2: slight disability, unable to carry out all previous activities but able to look after own affairs without assistance.",mRS <= 6 required for enrollment,eligible,none,sweep of mrs02_direct (true mRS 2) at <= 6,mrs02_direct,<=,6,ceiling
mrs02_direct_GE3,2,,direct_label,False,,"The patient's modified Rankin Scale score is 2: slight disability, unable to carry out all previous activities but able to look after own affairs without assistance.",mRS >= 3 required for enrollment (supportive care cohort),excluded,reversed_threshold,sweep of mrs02_direct (true mRS 2) at >= 3,mrs02_direct,>=,3,direction
mrs02_paraphrase_LE0,2,,paraphrase,False,,"The patient can no longer manage the household finances she used to handle but dresses, bathes, and cooks for herself unaided.",mRS <= 0 required for enrollment,excluded,none,sweep of mrs02_paraphrase (true mRS 2) at <= 0,mrs02_paraphrase,<=,0,exploratory
mrs02_paraphrase_LE1,2,,paraphrase,False,,"The patient can no longer manage the household finances she used to handle but dresses, bathes, and cooks for herself unaided.",mRS <= 1 required for enrollment,excluded,none,sweep of mrs02_paraphrase (true mRS 2) at <= 1,mrs02_paraphrase,<=,1,primary
mrs02_paraphrase_LE2,2,,paraphrase,True,,"The patient can no longer manage the household finances she used to handle but dresses, bathes, and cooks for herself unaided.",mRS <= 2 required for enrollment,eligible,none,sweep of mrs02_paraphrase (true mRS 2) at <= 2,mrs02_paraphrase,<=,2,primary
mrs02_paraphrase_LE4,2,,paraphrase,False,,"The patient can no longer manage the household finances she used to handle but dresses, bathes, and cooks for herself unaided.",mRS <= 4 required for enrollment,eligible,none,sweep of mrs02_paraphrase (true mRS 2) at <= 4,mrs02_paraphrase,<=,4,exploratory
mrs02_paraphrase_LE6,2,,paraphrase,False,,"The patient can no longer manage the household finances she used to handle but dresses, bathes, and cooks for herself unaided.",mRS <= 6 required for enrollment,eligible,none,sweep of mrs02_paraphrase (true mRS 2) at <= 6,mrs02_paraphrase,<=,6,ceiling
mrs02_paraphrase_GE3,2,,paraphrase,False,,"The patient can no longer manage the household finances she used to handle but dresses, bathes, and cooks for herself unaided.",mRS >= 3 required for enrollment (supportive care cohort),excluded,reversed_threshold,sweep of mrs02_paraphrase (true mRS 2) at >= 3,mrs02_paraphrase,>=,3,direction
mrs02_inferred_LE0,2,,inferred_symptoms,False,,"The patient stopped driving after the stroke but still shops, cooks, and manages personal care independently.",mRS <= 0 required for enrollment,excluded,none,sweep of mrs02_inferred (true mRS 2) at <= 0,mrs02_inferred,<=,0,exploratory
mrs02_inferred_LE1,2,,inferred_symptoms,False,,"The patient stopped driving after the stroke but still shops, cooks, and manages personal care independently.",mRS <= 1 required for enrollment,excluded,none,sweep of mrs02_inferred (true mRS 2) at <= 1,mrs02_inferred,<=,1,primary
mrs02_inferred_LE2,2,,inferred_symptoms,True,,"The patient stopped driving after the stroke but still shops, cooks, and manages personal care independently.",mRS <= 2 required for enrollment,eligible,none,sweep of mrs02_inferred (true mRS 2) at <= 2,mrs02_inferred,<=,2,primary
mrs02_inferred_LE4,2,,inferred_symptoms,False,,"The patient stopped driving after the stroke but still shops, cooks, and manages personal care independently.",mRS <= 4 required for enrollment,eligible,none,sweep of mrs02_inferred (true mRS 2) at <= 4,mrs02_inferred,<=,4,exploratory
mrs02_inferred_LE6,2,,inferred_symptoms,False,,"The patient stopped driving after the stroke but still shops, cooks, and manages personal care independently.",mRS <= 6 required for enrollment,eligible,none,sweep of mrs02_inferred (true mRS 2) at <= 6,mrs02_inferred,<=,6,ceiling
mrs02_inferred_GE3,2,,inferred_symptoms,False,,"The patient stopped driving after the stroke but still shops, cooks, and manages personal care independently.",mRS >= 3 required for enrollment (supportive care cohort),excluded,reversed_threshold,sweep of mrs02_inferred (true mRS 2) at >= 3,mrs02_inferred,>=,3,direction
mrs03_direct_LE0,3,,direct_label,False,,"The patient's modified Rankin Scale score is 3: moderate disability, requiring some help but able to walk unassisted.",mRS <= 0 required for enrollment,excluded,none,sweep of mrs03_direct (true mRS 3) at <= 0,mrs03_direct,<=,0,exploratory
mrs03_direct_LE1,3,,direct_label,False,,"The patient's modified Rankin Scale score is 3: moderate disability, requiring some help but able to walk unassisted.",mRS <= 1 required for enrollment,excluded,none,sweep of mrs03_direct (true mRS 3) at <= 1,mrs03_direct,<=,1,primary
mrs03_direct_LE2,3,,direct_label,False,,"The patient's modified Rankin Scale score is 3: moderate disability, requiring some help but able to walk unassisted.",mRS <= 2 required for enrollment,excluded,none,sweep of mrs03_direct (true mRS 3) at <= 2,mrs03_direct,<=,2,primary
mrs03_direct_LE4,3,,direct_label,False,,"The patient's modified Rankin Scale score is 3: moderate disability, requiring some help but able to walk unassisted.",mRS <= 4 required for enrollment,eligible,none,sweep of mrs03_direct (true mRS 3) at <= 4,mrs03_direct,<=,4,exploratory
mrs03_direct_LE6,3,,direct_label,False,,"The patient's modified Rankin Scale score is 3: moderate disability, requiring some help but able to walk unassisted.",mRS <= 6 required for enrollment,eligible,none,sweep of mrs03_direct (true mRS 3) at <= 6,mrs03_direct,<=,6,ceiling
mrs03_direct_GE3,3,,direct_label,True,,"The patient's modified Rankin Scale score is 3: moderate disability, requiring some help but able to walk unassisted.",mRS >= 3 required for enrollment (supportive care cohort),eligible,reversed_threshold,sweep of mrs03_direct (true mRS 3) at >= 3,mrs03_direct,>=,3,direction
mrs03_paraphrase_LE0,3,,paraphrase,False,,The patient needs a home health aide for meal preparation and bathing but can still walk around the house without support.,mRS <= 0 required for enrollment,excluded,none,sweep of mrs03_paraphrase (true mRS 3) at <= 0,mrs03_paraphrase,<=,0,exploratory
mrs03_paraphrase_LE1,3,,paraphrase,False,,The patient needs a home health aide for meal preparation and bathing but can still walk around the house without support.,mRS <= 1 required for enrollment,excluded,none,sweep of mrs03_paraphrase (true mRS 3) at <= 1,mrs03_paraphrase,<=,1,primary
mrs03_paraphrase_LE2,3,,paraphrase,False,,The patient needs a home health aide for meal preparation and bathing but can still walk around the house without support.,mRS <= 2 required for enrollment,excluded,none,sweep of mrs03_paraphrase (true mRS 3) at <= 2,mrs03_paraphrase,<=,2,primary
mrs03_paraphrase_LE4,3,,paraphrase,False,,The patient needs a home health aide for meal preparation and bathing but can still walk around the house without support.,mRS <= 4 required for enrollment,eligible,none,sweep of mrs03_paraphrase (true mRS 3) at <= 4,mrs03_paraphrase,<=,4,exploratory
mrs03_paraphrase_LE6,3,,paraphrase,False,,The patient needs a home health aide for meal preparation and bathing but can still walk around the house without support.,mRS <= 6 required for enrollment,eligible,none,sweep of mrs03_paraphrase (true mRS 3) at <= 6,mrs03_paraphrase,<=,6,ceiling
mrs03_paraphrase_GE3,3,,paraphrase,True,,The patient needs a home health aide for meal preparation and bathing but can still walk around the house without support.,mRS >= 3 required for enrollment (supportive care cohort),eligible,reversed_threshold,sweep of mrs03_paraphrase (true mRS 3) at >= 3,mrs03_paraphrase,>=,3,direction
mrs03_inferred_LE0,3,,inferred_symptoms,False,,"The patient moved in with her daughter because she can no longer cook or manage medications alone, though she gets around the house fine on her own two feet.",mRS <= 0 required for enrollment,excluded,none,sweep of mrs03_inferred (true mRS 3) at <= 0,mrs03_inferred,<=,0,exploratory
mrs03_inferred_LE1,3,,inferred_symptoms,False,,"The patient moved in with her daughter because she can no longer cook or manage medications alone, though she gets around the house fine on her own two feet.",mRS <= 1 required for enrollment,excluded,none,sweep of mrs03_inferred (true mRS 3) at <= 1,mrs03_inferred,<=,1,primary
mrs03_inferred_LE2,3,,inferred_symptoms,False,,"The patient moved in with her daughter because she can no longer cook or manage medications alone, though she gets around the house fine on her own two feet.",mRS <= 2 required for enrollment,excluded,none,sweep of mrs03_inferred (true mRS 3) at <= 2,mrs03_inferred,<=,2,primary
mrs03_inferred_LE4,3,,inferred_symptoms,False,,"The patient moved in with her daughter because she can no longer cook or manage medications alone, though she gets around the house fine on her own two feet.",mRS <= 4 required for enrollment,eligible,none,sweep of mrs03_inferred (true mRS 3) at <= 4,mrs03_inferred,<=,4,exploratory
mrs03_inferred_LE6,3,,inferred_symptoms,False,,"The patient moved in with her daughter because she can no longer cook or manage medications alone, though she gets around the house fine on her own two feet.",mRS <= 6 required for enrollment,eligible,none,sweep of mrs03_inferred (true mRS 3) at <= 6,mrs03_inferred,<=,6,ceiling
mrs03_inferred_GE3,3,,inferred_symptoms,True,,"The patient moved in with her daughter because she can no longer cook or manage medications alone, though she gets around the house fine on her own two feet.",mRS >= 3 required for enrollment (supportive care cohort),eligible,reversed_threshold,sweep of mrs03_inferred (true mRS 3) at >= 3,mrs03_inferred,>=,3,direction
mrs04_direct_LE0,4,,direct_label,False,,"The patient's modified Rankin Scale score is 4: moderately severe disability, unable to walk without assistance and unable to attend to own bodily needs without assistance.",mRS <= 0 required for enrollment,excluded,none,sweep of mrs04_direct (true mRS 4) at <= 0,mrs04_direct,<=,0,exploratory
mrs04_direct_LE1,4,,direct_label,False,,"The patient's modified Rankin Scale score is 4: moderately severe disability, unable to walk without assistance and unable to attend to own bodily needs without assistance.",mRS <= 1 required for enrollment,excluded,none,sweep of mrs04_direct (true mRS 4) at <= 1,mrs04_direct,<=,1,primary
mrs04_direct_LE2,4,,direct_label,False,,"The patient's modified Rankin Scale score is 4: moderately severe disability, unable to walk without assistance and unable to attend to own bodily needs without assistance.",mRS <= 2 required for enrollment,excluded,none,sweep of mrs04_direct (true mRS 4) at <= 2,mrs04_direct,<=,2,primary
mrs04_direct_LE4,4,,direct_label,True,,"The patient's modified Rankin Scale score is 4: moderately severe disability, unable to walk without assistance and unable to attend to own bodily needs without assistance.",mRS <= 4 required for enrollment,eligible,none,sweep of mrs04_direct (true mRS 4) at <= 4,mrs04_direct,<=,4,exploratory
mrs04_direct_LE6,4,,direct_label,False,,"The patient's modified Rankin Scale score is 4: moderately severe disability, unable to walk without assistance and unable to attend to own bodily needs without assistance.",mRS <= 6 required for enrollment,eligible,none,sweep of mrs04_direct (true mRS 4) at <= 6,mrs04_direct,<=,6,ceiling
mrs04_direct_GE3,4,,direct_label,False,,"The patient's modified Rankin Scale score is 4: moderately severe disability, unable to walk without assistance and unable to attend to own bodily needs without assistance.",mRS >= 3 required for enrollment (supportive care cohort),eligible,reversed_threshold,sweep of mrs04_direct (true mRS 4) at >= 3,mrs04_direct,>=,3,direction
mrs04_paraphrase_LE0,4,,paraphrase,False,,The patient requires a walker and help from a caregiver to use the bathroom and get dressed each day.,mRS <= 0 required for enrollment,excluded,none,sweep of mrs04_paraphrase (true mRS 4) at <= 0,mrs04_paraphrase,<=,0,exploratory
mrs04_paraphrase_LE1,4,,paraphrase,False,,The patient requires a walker and help from a caregiver to use the bathroom and get dressed each day.,mRS <= 1 required for enrollment,excluded,none,sweep of mrs04_paraphrase (true mRS 4) at <= 1,mrs04_paraphrase,<=,1,primary
mrs04_paraphrase_LE2,4,,paraphrase,False,,The patient requires a walker and help from a caregiver to use the bathroom and get dressed each day.,mRS <= 2 required for enrollment,excluded,none,sweep of mrs04_paraphrase (true mRS 4) at <= 2,mrs04_paraphrase,<=,2,primary
mrs04_paraphrase_LE4,4,,paraphrase,True,,The patient requires a walker and help from a caregiver to use the bathroom and get dressed each day.,mRS <= 4 required for enrollment,eligible,none,sweep of mrs04_paraphrase (true mRS 4) at <= 4,mrs04_paraphrase,<=,4,exploratory
mrs04_paraphrase_LE6,4,,paraphrase,False,,The patient requires a walker and help from a caregiver to use the bathroom and get dressed each day.,mRS <= 6 required for enrollment,eligible,none,sweep of mrs04_paraphrase (true mRS 4) at <= 6,mrs04_paraphrase,<=,6,ceiling
mrs04_paraphrase_GE3,4,,paraphrase,False,,The patient requires a walker and help from a caregiver to use the bathroom and get dressed each day.,mRS >= 3 required for enrollment (supportive care cohort),eligible,reversed_threshold,sweep of mrs04_paraphrase (true mRS 4) at >= 3,mrs04_paraphrase,>=,3,direction
mrs05_direct_LE0,5,,direct_label,False,,"The patient's modified Rankin Scale score is 5: severe disability, bedridden, incontinent, requiring constant nursing care and attention.",mRS <= 0 required for enrollment,excluded,none,sweep of mrs05_direct (true mRS 5) at <= 0,mrs05_direct,<=,0,exploratory
mrs05_direct_LE1,5,,direct_label,False,,"The patient's modified Rankin Scale score is 5: severe disability, bedridden, incontinent, requiring constant nursing care and attention.",mRS <= 1 required for enrollment,excluded,none,sweep of mrs05_direct (true mRS 5) at <= 1,mrs05_direct,<=,1,primary
mrs05_direct_LE2,5,,direct_label,False,,"The patient's modified Rankin Scale score is 5: severe disability, bedridden, incontinent, requiring constant nursing care and attention.",mRS <= 2 required for enrollment,excluded,none,sweep of mrs05_direct (true mRS 5) at <= 2,mrs05_direct,<=,2,primary
mrs05_direct_LE4,5,,direct_label,False,,"The patient's modified Rankin Scale score is 5: severe disability, bedridden, incontinent, requiring constant nursing care and attention.",mRS <= 4 required for enrollment,excluded,none,sweep of mrs05_direct (true mRS 5) at <= 4,mrs05_direct,<=,4,exploratory
mrs05_direct_LE6,5,,direct_label,False,,"The patient's modified Rankin Scale score is 5: severe disability, bedridden, incontinent, requiring constant nursing care and attention.",mRS <= 6 required for enrollment,eligible,none,sweep of mrs05_direct (true mRS 5) at <= 6,mrs05_direct,<=,6,ceiling
mrs05_direct_GE3,5,,direct_label,False,,"The patient's modified Rankin Scale score is 5: severe disability, bedridden, incontinent, requiring constant nursing care and attention.",mRS >= 3 required for enrollment (supportive care cohort),eligible,reversed_threshold,sweep of mrs05_direct (true mRS 5) at >= 3,mrs05_direct,>=,3,direction
mrs06_direct_LE0,6,,direct_label,False,,The patient died two weeks after the index stroke; modified Rankin Scale score is recorded as 6.,mRS <= 0 required for enrollment,excluded,none,sweep of mrs06_direct (true mRS 6) at <= 0,mrs06_direct,<=,0,exploratory
mrs06_direct_LE1,6,,direct_label,False,,The patient died two weeks after the index stroke; modified Rankin Scale score is recorded as 6.,mRS <= 1 required for enrollment,excluded,none,sweep of mrs06_direct (true mRS 6) at <= 1,mrs06_direct,<=,1,primary
mrs06_direct_LE2,6,,direct_label,False,,The patient died two weeks after the index stroke; modified Rankin Scale score is recorded as 6.,mRS <= 2 required for enrollment,excluded,none,sweep of mrs06_direct (true mRS 6) at <= 2,mrs06_direct,<=,2,primary
mrs06_direct_LE4,6,,direct_label,False,,The patient died two weeks after the index stroke; modified Rankin Scale score is recorded as 6.,mRS <= 4 required for enrollment,excluded,none,sweep of mrs06_direct (true mRS 6) at <= 4,mrs06_direct,<=,4,exploratory
mrs06_direct_LE6,6,,direct_label,True,,The patient died two weeks after the index stroke; modified Rankin Scale score is recorded as 6.,mRS <= 6 required for enrollment,eligible,none,sweep of mrs06_direct (true mRS 6) at <= 6,mrs06_direct,<=,6,ceiling
mrs06_direct_GE3,6,,direct_label,False,,The patient died two weeks after the index stroke; modified Rankin Scale score is recorded as 6.,mRS >= 3 required for enrollment (supportive care cohort),eligible,reversed_threshold,sweep of mrs06_direct (true mRS 6) at >= 3,mrs06_direct,>=,3,direction
mrs_distractor_nihss_LE0,3,,distractor,False,,"The patient's NIHSS score at admission was 8, though by discharge she was walking independently and managing all self-care without help.",mRS <= 0 required for enrollment,excluded,scale_substitution,sweep of mrs_distractor_nihss (true mRS 3) at <= 0,mrs_distractor_nihss,<=,0,exploratory
mrs_distractor_nihss_LE1,3,,distractor,False,,"The patient's NIHSS score at admission was 8, though by discharge she was walking independently and managing all self-care without help.",mRS <= 1 required for enrollment,excluded,scale_substitution,sweep of mrs_distractor_nihss (true mRS 3) at <= 1,mrs_distractor_nihss,<=,1,primary
mrs_distractor_nihss_LE2,3,,distractor,False,,"The patient's NIHSS score at admission was 8, though by discharge she was walking independently and managing all self-care without help.",mRS <= 2 required for enrollment,excluded,scale_substitution,sweep of mrs_distractor_nihss (true mRS 3) at <= 2,mrs_distractor_nihss,<=,2,primary
mrs_distractor_nihss_LE4,3,,distractor,False,,"The patient's NIHSS score at admission was 8, though by discharge she was walking independently and managing all self-care without help.",mRS <= 4 required for enrollment,eligible,scale_substitution,sweep of mrs_distractor_nihss (true mRS 3) at <= 4,mrs_distractor_nihss,<=,4,exploratory
mrs_distractor_nihss_LE6,3,,distractor,False,,"The patient's NIHSS score at admission was 8, though by discharge she was walking independently and managing all self-care without help.",mRS <= 6 required for enrollment,eligible,scale_substitution,sweep of mrs_distractor_nihss (true mRS 3) at <= 6,mrs_distractor_nihss,<=,6,ceiling
mrs_distractor_nihss_GE3,3,,distractor,True,,"The patient's NIHSS score at admission was 8, though by discharge she was walking independently and managing all self-care without help.",mRS >= 3 required for enrollment (supportive care cohort),eligible,reversed_threshold,sweep of mrs_distractor_nihss (true mRS 3) at >= 3,mrs_distractor_nihss,>=,3,direction
mrs_distractor_ecog_LE0,2,,distractor,False,,"The patient's ECOG performance status is 1, and she additionally requires help with grocery shopping and bill payment following a stroke last month.",mRS <= 0 required for enrollment,excluded,cross_domain_scale_substitution,sweep of mrs_distractor_ecog (true mRS 2) at <= 0,mrs_distractor_ecog,<=,0,exploratory
mrs_distractor_ecog_LE1,2,,distractor,False,,"The patient's ECOG performance status is 1, and she additionally requires help with grocery shopping and bill payment following a stroke last month.",mRS <= 1 required for enrollment,excluded,cross_domain_scale_substitution,sweep of mrs_distractor_ecog (true mRS 2) at <= 1,mrs_distractor_ecog,<=,1,primary
mrs_distractor_ecog_LE2,2,,distractor,True,,"The patient's ECOG performance status is 1, and she additionally requires help with grocery shopping and bill payment following a stroke last month.",mRS <= 2 required for enrollment,eligible,cross_domain_scale_substitution,sweep of mrs_distractor_ecog (true mRS 2) at <= 2,mrs_distractor_ecog,<=,2,primary
mrs_distractor_ecog_LE4,2,,distractor,False,,"The patient's ECOG performance status is 1, and she additionally requires help with grocery shopping and bill payment following a stroke last month.",mRS <= 4 required for enrollment,eligible,cross_domain_scale_substitution,sweep of mrs_distractor_ecog (true mRS 2) at <= 4,mrs_distractor_ecog,<=,4,exploratory
mrs_distractor_ecog_LE6,2,,distractor,False,,"The patient's ECOG performance status is 1, and she additionally requires help with grocery shopping and bill payment following a stroke last month.",mRS <= 6 required for enrollment,eligible,cross_domain_scale_substitution,sweep of mrs_distractor_ecog (true mRS 2) at <= 6,mrs_distractor_ecog,<=,6,ceiling
mrs_distractor_ecog_GE3,2,,distractor,False,,"The patient's ECOG performance status is 1, and she additionally requires help with grocery shopping and bill payment following a stroke last month.",mRS >= 3 required for enrollment (supportive care cohort),excluded,reversed_threshold,sweep of mrs_distractor_ecog (true mRS 2) at >= 3,mrs_distractor_ecog,>=,3,direction
mrs_distractor_reversed_criterion_LE0,2,,distractor,False,,"The patient's modified Rankin Scale score is 2, slight disability but independent in self-care.",mRS <= 0 required for enrollment,excluded,reversed_threshold,sweep of mrs_distractor_reversed_criterion (true mRS 2) at <= 0,mrs_distractor_reversed_criterion,<=,0,exploratory
mrs_distractor_reversed_criterion_LE1,2,,distractor,False,,"The patient's modified Rankin Scale score is 2, slight disability but independent in self-care.",mRS <= 1 required for enrollment,excluded,reversed_threshold,sweep of mrs_distractor_reversed_criterion (true mRS 2) at <= 1,mrs_distractor_reversed_criterion,<=,1,primary
mrs_distractor_reversed_criterion_LE2,2,,distractor,True,,"The patient's modified Rankin Scale score is 2, slight disability but independent in self-care.",mRS <= 2 required for enrollment,eligible,reversed_threshold,sweep of mrs_distractor_reversed_criterion (true mRS 2) at <= 2,mrs_distractor_reversed_criterion,<=,2,primary
mrs_distractor_reversed_criterion_LE4,2,,distractor,False,,"The patient's modified Rankin Scale score is 2, slight disability but independent in self-care.",mRS <= 4 required for enrollment,eligible,reversed_threshold,sweep of mrs_distractor_reversed_criterion (true mRS 2) at <= 4,mrs_distractor_reversed_criterion,<=,4,exploratory
mrs_distractor_reversed_criterion_LE6,2,,distractor,False,,"The patient's modified Rankin Scale score is 2, slight disability but independent in self-care.",mRS <= 6 required for enrollment,eligible,reversed_threshold,sweep of mrs_distractor_reversed_criterion (true mRS 2) at <= 6,mrs_distractor_reversed_criterion,<=,6,ceiling
mrs_distractor_reversed_criterion_GE3,2,,distractor,False,,"The patient's modified Rankin Scale score is 2, slight disability but independent in self-care.",mRS >= 3 required for enrollment (supportive care cohort),excluded,reversed_threshold,sweep of mrs_distractor_reversed_criterion (true mRS 2) at >= 3,mrs_distractor_reversed_criterion,>=,3,direction
